url,name,book_table,rate,votes,phone,location,approx_cost(for two people),cuisines,rest_type
https://www.zomato.com/pune/toit-1-kalyani-nagar,Toit,1,4.6,948  votes,+91 7796694400,Kalyani Nagar,"₹1,500","Modern Indian, American, Italian",Bar
https://www.zomato.com/pune/smoky-beach-bhugaon,Smoky Beach,0,4.2,280  votes,080 46971337,Bhugaon,"₹1,300","Chinese, Continental, North Indian, Italian","Bar, Casual Dining"
https://www.zomato.com/pune/barbeque-ville-wakad,Barbeque Ville,1,4.4,3435  votes,+91 8380041222 +91 8380041333,Wakad,"₹1,000","North Indian, BBQ",Casual Dining
https://www.zomato.com/pune/thorats-baarbeque-misal-narhe,Thorat's Baarbeque Misal,0,4.0,259  votes,+91 7507599988,Narhe,₹250,Street Food,Quick Bites
https://www.zomato.com/pune/2bhk-diner-key-club-bund-garden,2BHK Diner & Key Club,0,4.2,498  votes,080 46971440,Bund Garden Road,"₹1,800","North Indian, Mediterranean, European, Finger Food","Bar, Casual Dining"
https://www.zomato.com/pune/the-mafia-viman-nagar,The Mafia,1,4.1,317  votes,+91 8379941111 +91 8380951111,Viman Nagar,"₹1,500","North Indian, Continental, Asian, Italian","Bar, Casual Dining"
https://www.zomato.com/pune/the-cult-terra-magarpatta,The Cult - Terra,1,4.4,Based on 394 votes,+91 8956282212 +91 8956282213,Magarpatta,"₹1,700","North Indian, Continental, Lebanese, Italian, Seafood, Asian","Casual Dining, Bar"
https://www.zomato.com/pune/le-plaisir-deccan-gymkhana,Le Plaisir,0,4.7,4665  votes,+91 8550995835 +91 8550995865,Deccan Gymkhana,"₹1,000","European, Italian, Continental",Café
https://www.zomato.com/pune/teritree-hadapsar,Teritree,1,3.7,Based on 78 votes,080 46971333,Hadapsar,"₹1,600","North Indian, Chinese, Continental",Casual Dining
https://www.zomato.com/pune/sukanta-deccan-gymkhana,Sukanta,0,4.1,3243  votes,+91 7385907371 020 25530077,Deccan Gymkhana,₹700,"Gujarati, North Indian, Maharashtrian",Casual Dining
https://www.zomato.com/pune/tarsh-gastronomia-hinjawadi,Tarsh Gastronomia,1,4.4,3006  votes,+91 8208400226 +91 8459464888,Hinjawadi,"₹1,500","North Indian, Italian, Asian, Mediterranean, Continental, European, Kebab, BBQ","Bar, Casual Dining"
https://www.zomato.com/pune/ttf-the-tenth-floor-baner,TTF - The Tenth Floor,1,4.4,Based on 382 votes,080 46971626,Baner,"₹1,500","North Indian, Continental, Finger Food","Bar, Casual Dining"
https://www.zomato.com/pune/the-barkhana-wakad,The Barkhana,0,4.7,1334  votes,080 46971140,Wakad,"₹1,700","North Indian, Continental, Chinese","Bar, Casual Dining"
https://www.zomato.com/pune/publiq-hinjawadi,Publiq,1,4.0,1983  votes,+91 7720888388 +91 7888004425,Hinjawadi,"₹1,600","Bar Food, Asian, North Indian, Italian","Bar, Casual Dining"
https://www.zomato.com/pune/atmosphere-6-viman-nagar,Atmosphere 6,1,4.0,2938  votes,080 46971304,Viman Nagar,"₹1,700","North Indian, Continental, Chinese, Italian, Salad","Pub, Casual Dining"
https://www.zomato.com/pune/aromas-hyderabad-house-viman-nagar,Aroma's Hyderabad House,0,4.1,462  votes,080 46972053,Viman Nagar,₹900,"Biryani, North Indian, Mughlai, Chinese",Casual Dining
https://www.zomato.com/pune/the-ruby-hilltop-sunnys-world-sus,The Ruby Hilltop - Sunny's World,1,4.4,2871  votes,080 46971539,Sus,"₹1,300","North Indian, Chinese, Italian, Continental","Casual Dining, Bar"
https://www.zomato.com/pune/the-fml-lounge-hinjawadi,The FML Lounge,0,4.3,3281  votes,080 46971205,Hinjawadi,"₹1,500","North Indian, Mughlai, Chinese","Bar, Casual Dining"
https://www.zomato.com/pune/mi-a-mi-jw-marriott-pune-senapati-bapat-road,Mi-a-Mi - JW Marriott Pune,1,4.3,2039  votes,080 46971365,Senapati Bapat Road,"₹2,500",Finger Food,Club
https://www.zomato.com/pune/spice-factory-hinjawadi,Spice Factory,1,4.0,1941  votes,080 46971897,Hinjawadi,"₹2,000","North Indian, Italian, Chinese","Pub, Casual Dining"
https://www.zomato.com/pune/hotel-jagdamba-shivapur,Hotel Jagdamba,0,4.4,1057  votes,+91 9762312436,Shivapur,₹600,"Maharashtrian, North Indian",Casual Dining
https://www.zomato.com/pune/the-urban-foundry-baner,The Urban Foundry,1,4.5,3847  votes,+91 8983001166 +91 8983001155,Baner,"₹1,500","Bar Food, North Indian, Asian, Fast Food","Bar, Casual Dining"
https://www.zomato.com/pune/the-secret-garden-mundhwa,The Secret Garden,0,0,0,+91 7820879872,Mundhwa,"₹1,400","North Indian, Continental, Italian",Casual Dining
https://www.zomato.com/pune/universal-barbeque-hinjawadi,Universal Barbeque,0,4.5,3189  votes,080 46971783,Hinjawadi,"₹1,200","BBQ, North Indian, Chinese","Casual Dining, Bar"
https://www.zomato.com/pune/smoke-on-the-water-bhugaon,Smoke On The Water,1,4.0,1104  votes,+91 7776006777 +91 7776006555,Bhugaon,"₹1,300","North Indian, Continental, Asian, Mughlai, Chinese","Bar, Casual Dining"
https://www.zomato.com/pune/surves-pure-non-veg-fc-road,Surve's Pure Non-Veg,0,4.2,1112  votes,+91 9823999960,FC Road,₹550,Maharashtrian,Casual Dining
https://www.zomato.com/pune/urbo-baner,Urbo,1,4.1,910  votes,+91 8828838826 +91 9702884444,Baner,"₹1,700","Italian, Continental, Chinese, Asian, North Indian","Lounge, Casual Dining"
https://www.zomato.com/pune/spice-kitchen-jw-marriott-pune-senapati-bapat-road,Spice Kitchen - JW Marriott Pune,0,4.4,1737  votes,080 46972058,Senapati Bapat Road,"₹2,200","Italian, Asian, North Indian, South Indian, European",Fine Dining
https://www.zomato.com/pune/barometer-kothrud,Barometer,0,4.5,1531  votes,+91 9112271000,Kothrud,"₹1,500","Continental, Asian, Italian, North Indian, Finger Food, Fast Food","Casual Dining, Bar"
https://www.zomato.com/pune/cafe-goodluck-deccan-gymkhana,Cafe Goodluck,0,4.2,7002  votes,+91 8087810002 +91 8087810003,Deccan Gymkhana,₹600,"North Indian, Mughlai, Malwani, Fast Food, Street Food",Quick Bites
https://www.zomato.com/pune/german-bakery-koregaon-park,German Bakery,0,4.2,4715  votes,080 46971494,Koregaon Park,"₹1,100","German, Italian, Cafe","Casual Dining, Café"
https://www.zomato.com/pune/pimlico-koregaon-park,Pimlico,0,4.2,Based on 250 votes,080 46972143,Koregaon Park,₹700,"Cafe, Continental, Italian",Café
https://www.zomato.com/pune/babylon-craft-brewery-erandwane,Babylon Craft Brewery,1,4.9,Based on 216 votes,+91 7030933061,Erandwane,₹900,"North Indian, Chinese, Continental, Mughlai, Asian, Italian, Beverages",Microbrewery
https://www.zomato.com/pune/darshan-baner,Darshan,0,4.8,3758  votes,+91 7447767100 +91 7447767200,Baner,₹700,"Italian, Continental, Chinese, Mexican, Fast Food, Street Food, Desserts",Casual Dining
https://www.zomato.com/pune/eternia-rooftop-senapati-bapat-road,Eternia Rooftop,1,4.6,2585  votes,080 46971287,Senapati Bapat Road,"₹1,800","American, Chinese, North Indian, Italian, Mughlai",Lounge
https://www.zomato.com/pune/blu-grass-hinjawadi,Blu Grass,1,4.1,Na základě 230 hlasů,080 46971799,Hinjawadi,"₹1,300","North Indian, Continental, Italian","Casual Dining, Bar"
https://www.zomato.com/pune/the-sassy-spoon-koregaon-park,The Sassy Spoon,1,4.6,1956  votes,+91 7666222111,Koregaon Park,"₹1,500","European, Asian, Italian, Finger Food, Salad, Fast Food","Casual Dining, Bar"
https://www.zomato.com/pune/vaishali-fc-road,Vaishali,0,4.4,5660  votes,020 25531244,FC Road,₹500,"South Indian, Street Food, Fast Food",Casual Dining
https://www.zomato.com/pune/tatva-the-vegetarian-kitchen-wakad,Tatva The Vegetarian Kitchen,0,4.3,2930  votes,+91 7028510427 +91 8888526700,Wakad,₹850,"North Indian, Chinese, Continental, South Indian, Fast Food, Street Food, Beverages",Casual Dining
https://www.zomato.com/pune/marz-o-rin-mg-road,Marz-O-Rin,0,4.1,3552  votes,020 26130774 020 26136690,MG Road,₹300,"Fast Food, Desserts, Beverages",Quick Bites
https://www.zomato.com/pune/pk-biryani-house-karve-nagar,PK Biryani House,1,3.9,1429  votes,+91 9579423316 +91 9822026463,Karve Nagar,₹700,"Biryani, North Indian, Seafood",Casual Dining
https://www.zomato.com/pune/zeeshan-restaurant-apna-hyderabadi-food-viman-nagar,Zeeshan Restaurant - Apna Hyderabadi Food,1,4.3,1942  votes,+91 8888924441 +91 7887882293,Viman Nagar,₹700,"North Indian, Chinese, Biryani, Kebab, Arabian, Malwani",Casual Dining
https://www.zomato.com/pune/durvankur-sadashiv-peth,Durvankur,0,4.2,1461  votes,020 24474438 020 24467067,Sadashiv Peth,₹600,Maharashtrian,Casual Dining
https://www.zomato.com/pune/agent-jacks-baner,Agent Jack's,1,4.3,2642  votes,+91 9075026464 +91 9075026565,Baner,"₹1,500","Finger Food, Continental, North Indian, Italian, Asian, Desserts","Bar, Casual Dining"
https://www.zomato.com/pune/roots-9-kitchen-bar-erandwane,ROOTS 9 KITCHEN & BAR,1,4.4,230  votes,080 46971531,Erandwane,"₹1,400","Continental, Italian, North Indian, Finger Food","Casual Dining, Bar"
https://www.zomato.com/pune/penthouze-mundhwa,Penthouze,0,3.9,1617  votes,080 46971802,Mundhwa,"₹2,200","Finger Food, Italian, Pizza","Bar, Casual Dining"
https://www.zomato.com/pune/little-italy-shivaji-nagar,Little Italy,1,4.4,2654  votes,020 25662222 020 41057200,Shivaji Nagar,"₹2,100","Italian, Mexican, Salad, Juices","Casual Dining, Bar"
https://www.zomato.com/pune/world-of-veg-shivaji-nagar,World of Veg,1,3.9,1238  votes,080 46971119,Shivaji Nagar,"₹1,500","North Indian, Chinese, Italian",Casual Dining
https://www.zomato.com/pune/linkin-barrel-baner,Linkin Barrel,1,4.3,1135  votes,080 46971806,Baner,"₹1,300","Continental, Modern Indian, Italian, North Indian","Bar, Casual Dining"
https://www.zomato.com/pune/fly-high-hinjawadi,Fly High,1,4.3,866  votes,080 46971351,Hinjawadi,"₹2,000","Continental, Italian, Chinese, North Indian","Bar, Casual Dining"
https://www.zomato.com/pune/thikana-hinjawadi,Thikana,0,4.0,1971  votes,080 46971913,Hinjawadi,"₹1,500","Bar Food, North Indian, Fast Food","Bar, Casual Dining"
https://www.zomato.com/pune/high-spirits-mundhwa,High Spirits,1,4.2,2401  votes,080 46971798,Mundhwa,"₹1,500","Finger Food, Continental, Italian, North Indian, Mexican","Bar, Pub"
https://www.zomato.com/pune/cuba-libre-wakad,Cuba Libre,1,4.4,134  votes,080 46971271,Wakad,"₹2,200","Finger Food, Continental, Italian, North Indian","Bar, Casual Dining"
https://www.zomato.com/pune/darios-koregaon-park,Dario's,1,4.4,3341  votes,+91 8007182299 +91 8007192288,Koregaon Park,"₹1,600","Italian, Pizza, Salad, Healthy Food, Mexican, Cafe, Desserts, Continental","Casual Dining, Café"
https://www.zomato.com/pune/burger-east-street,Burger,0,4.6,2624  votes,+91 8275427189,East Street,₹250,"Burger, Fast Food",Quick Bites
https://www.zomato.com/pune/nh-37-dhaba-pune-university,NH 37 Dhaba,1,4.1,2161  votes,+91 8007050002 +91 8007060002,Pune University,"₹1,200","Chinese, North Indian, Bengali, Salad",Casual Dining
https://www.zomato.com/pune/hippie@heart-deccan-gymkhana,Hippie@Heart,0,4.5,1102  votes,080 46971749,Deccan Gymkhana,"₹1,300","Continental, Italian, North Indian, Finger Food, European","Casual Dining, Bar"
https://www.zomato.com/pune/kargo-koregaon-park,Kargo,1,4.5,2758  votes,080 46971067,Koregaon Park,"₹1,100","Asian, Continental, North Indian, Italian","Casual Dining, Bar"
https://www.zomato.com/pune/theobroma-koregaon-park,Theobroma,0,4.5,361  votes,+91 7045784522,Koregaon Park,₹600,"Bakery, Desserts, Fast Food",Bakery
https://www.zomato.com/pune/malaka-spice-koregaon-park,Malaka Spice,1,4.4,4815  votes,080 46972103,Koregaon Park,"₹1,800","Malaysian, Thai, Vietnamese, Japanese, Korean, Asian, Salad","Casual Dining, Bar"
https://www.zomato.com/pune/360-degree-the-revolving-fine-dine-restaurant-jm-road,360 Degree - The Revolving Fine Dine Restaurant,0,4.2,970  votes,080 46972188,JM Road,"₹1,200","North Indian, Continental, Asian, Mughlai","Casual Dining, Bar"
https://www.zomato.com/pune/vohuman-cafe-dhole-patil-road,Vohuman Cafe,0,4.7,3441  votes,+91 9373323263,Dhole Patil Road,₹250,Street Food,Quick Bites
https://www.zomato.com/pune/maharaja-bhog-senapati-bapat-road,Maharaja Bhog,0,4.6,527  votes,020 66421185 020 66421186,Senapati Bapat Road,"₹1,000","North Indian, Gujarati, Rajasthani",Casual Dining
https://www.zomato.com/pune/hard-rock-cafe-mundhwa,Hard Rock Cafe,1,4.5,3693  votes,080 46971227,Mundhwa,"₹2,500","American, Continental, Mexican, Salad","Bar, Casual Dining"
https://www.zomato.com/pune/blue-nile-camp-area,Blue Nile,0,3.9,2792  votes,020 26125238,Camp Area,₹800,"Chinese, North Indian, Mughlai",Casual Dining
https://www.zomato.com/pune/ministry-of-barbeque-wakad,Ministry Of Barbeque,0,4.2,Based on 362 votes,+91 9088697667 +91 9833124979,Wakad,"₹1,000","North Indian, Continental",Casual Dining
https://www.zomato.com/pune/yana-sizzlers-wok-fc-road,Yana Sizzlers & Wok,1,4.3,2450  votes,020 66013897 020 66013898,FC Road,"₹1,000","Chinese, Continental, Seafood, Salad",Casual Dining
https://www.zomato.com/pune/autobahn-viman-nagar,Autobahn,1,4.7,3790  votes,080 46971814,Viman Nagar,"₹1,300","Bengali, Chettinad, Goan, North Indian","Casual Dining, Bar"
https://www.zomato.com/pune/18-degrees-resto-lounge-pimple-saudagar,18 Degrees Resto Lounge,1,3.6,2528  votes,080 46971672,Pimple Saudagar,"₹2,100","North Indian, Mediterranean, Chinese","Lounge, Casual Dining"
https://www.zomato.com/pune/satgurus-punjabi-rasoi-magarpatta,Satguru's Punjabi Rasoi,0,4.2,3916 hlasov,+91 9028762666 +91 9764837052,Magarpatta,"₹1,200","North Indian, Mughlai, Fast Food",Casual Dining
https://www.zomato.com/pune/anna-idli-baner,Anna Idli,0,4.4,2931  votes,+91 7038779928,Baner,₹400,"South Indian, Fast Food",Casual Dining
https://www.zomato.com/pune/crazy-cheesy-sadashiv-peth,Crazy Cheesy,0,4.4,1430  votes,080 46971155,Sadashiv Peth,₹450,"Cafe, Fast Food, Pizza, Sandwich",Café
https://www.zomato.com/pune/azzurro-baner,Azzurro,1,4.0,938  votes,080 46971185,Baner,"₹1,600","Continental, Asian, North Indian, Mughlai","Pub, Casual Dining"
https://www.zomato.com/pune/gong-baner,Gong,1,4.7,1647  votes,+91 8806577377 +91 9370579604,Baner,"₹1,700","Asian, Thai, Sushi",Casual Dining
https://www.zomato.com/pune/the-deccan-bid-capital-shivaji-nagar,The Deccan Bid Capital,1,4.7,1894  votes,+91 7030960581,Shivaji Nagar,"₹1,200","Asian, Continental, North Indian","Bar, Casual Dining"
https://www.zomato.com/pune/claypot-kharadi,Claypot,1,3.9,1044  votes,+91 8806011060 +91 9158474060,Kharadi,₹700,"North Indian, Seafood, Chinese",Casual Dining
https://www.zomato.com/pune/le-stone-ravet,Le Stone,0,4.5,819  votes,080 45128790,Ravet,"₹1,500","North Indian, Continental, Kebab, Pizza, Chinese","Bar, Casual Dining"
https://www.zomato.com/pune/zeleb-mundhwa,Zeleb,0,3.4,179  votes,+91 9373633333,Mundhwa,"₹1,300",Bar Food,"Bar, Casual Dining"
https://www.zomato.com/pune/marine-drive-hinjawadi,Marine Drive,1,3.9,1303  votes,+91 9850882266 +91 7888000974,Hinjawadi,"₹1,500","Continental, North Indian, Italian, Asian","Casual Dining, Bar"
https://www.zomato.com/pune/legends-of-punjab-kalyani-nagar,Legends of Punjab,0,0,0,080 46971428,Kalyani Nagar,"₹1,500","North Indian, Italian, Continental, Mexican","Casual Dining, Bar"
https://www.zomato.com/pune/pop-tates-viman-nagar,Pop Tate's,0,4.9,1944  votes,+91 7045004406 020 48616266,Viman Nagar,"₹1,400","Continental, Italian, Chinese","Bar, Casual Dining"
https://www.zomato.com/pune/highland-baner,Highland,1,4.1,773  votes,+91 9588641814 +91 9858581717,Baner,"₹1,200","Bar Food, North Indian, Mughlai, Chinese","Bar, Casual Dining"
https://www.zomato.com/pune/p-k-biryani-house-kothrud,P. K. Biryani House,0,3.9,1042  votes,+91 9823581408 +91 9921277027,Kothrud,"₹1,100","Biryani, Seafood, North Indian, Kebab",Casual Dining
https://www.zomato.com/pune/lad-restaurant-wakad,Lad Restaurant,0,4.2,275  votes,+91 8329003039 +91 9960400049,Wakad,₹500,"Maharashtrian, North Indian",Quick Bites
https://www.zomato.com/pune/texas-tower-kharadi,Texas Tower,1,4.0,987  votes,080 46972013,Kharadi,"₹1,600","Continental, North Indian, Italian, Finger Food, Desserts","Bar, Casual Dining"
https://www.zomato.com/pune/elephant-co-kalyani-nagar,Elephant & Co.,1,4.3,1438  votes,+91 7887888188 +91 7276613560,Kalyani Nagar,"₹1,500","Finger Food, Continental, Salad","Bar, Casual Dining"
https://www.zomato.com/pune/effingut-brewerkz-baner,Effingut Brewerkz,1,4.5,2857  votes,+91 7620038888,Baner,"₹2,000","Continental, North Indian, Mughlai, Italian, Asian","Pub, Casual Dining"
https://www.zomato.com/pune/cafe-paashh-kalyani-nagar,Cafe Paashh,0,4.9,378  votes,080 46971834,Kalyani Nagar,"₹1,500","Cafe, European, Healthy Food, Modern Indian",Café
https://www.zomato.com/pune/the-ritz-carlton-tea-lounge-yerawada,The Ritz-Carlton Tea Lounge,0,0,0,020 67675000,Yerawada,"₹1,800","Cafe, Tea, Bakery, Desserts, Beverages","Café, Lounge"
https://www.zomato.com/pune/madéline-kothrud,Madéline,0,3.9,247  votes,+91 9607095678 +91 9168681649,Kothrud,₹850,"Cafe, French, European",Café
https://www.zomato.com/pune/baobab-bund-garden,Baobab,1,4.8,350  votes,+91 7719831000,Bund Garden Road,"₹1,200","North Indian, Italian, Asian","Casual Dining, Bar"
https://www.zomato.com/pune/moshi-moshi-koregaon-park,Moshi Moshi,0,4.6,Based on 250 votes,080 46972095,Koregaon Park,"₹1,500","Malaysian, Thai, Vietnamese, Japanese, Korean, Asian, Sushi, Salad",Casual Dining
https://www.zomato.com/pune/loft-viman-nagar,Loft,0,4.5,742  votes,+91 9112352435,Viman Nagar,₹700,"Cafe, Continental, Italian, Thai, North Indian, Pizza, Burger",Café
https://www.zomato.com/pune/culture-fc-road,Culture - पुणे,1,4.3,3476  votes,080 46971112,FC Road,"₹1,300","Bar Food, North Indian, Italian, Continental","Bar, Casual Dining"
https://www.zomato.com/pune/mcdonalds-aundh,McDonald's,0,3.7,589  votes,+91 8928304040 020 40589945,Aundh,₹500,"Burger, Fast Food",Quick Bites
https://www.zomato.com/pune/independence-brewing-company-mundhwa,Independence Brewing Company,1,4.3,2486  votes,+91 8888168886 +91 7887885118,Mundhwa,"₹1,800","American, Continental, Mexican, North Indian, Beverages","Bar, Casual Dining"
https://www.zomato.com/pune/tatyancha-dhaba-3-baner,Tatyancha Dhaba,0,3.6,277  votes,+91 8806111148 020 65111148,Baner,₹650,"North Indian, Chinese",Casual Dining
https://www.zomato.com/pune/cafe-blu-radisson-blu-hinjawadi,Cafe Blu - Radisson Blu,1,4.6,890  votes,+91 7400084252 +91 7400084253,Hinjawadi,"₹1,500","Continental, North Indian, Asian, Fast Food, Beverages","Casual Dining, Bar"
https://www.zomato.com/pune/green-signal-deccan-gymkhana,Green Signal,0,4.0,687  votes,080 46971850,Deccan Gymkhana,₹700,"Chinese, North Indian, Continental, Beverages",Casual Dining
https://www.zomato.com/pune/sps-biryani-house-sadashiv-peth,SP's Biryani House,0,3.9,2189  votes,020 24475441 020 24432117,Sadashiv Peth,₹650,"Biryani, Mughlai",Casual Dining
https://www.zomato.com/pune/baba-ramdev-dhaba-nigdi,Baba Ramdev Dhaba,0,4.2,2208  votes,020 27655551,Nigdi,₹400,"North Indian, Rajasthani",Quick Bites
https://www.zomato.com/pune/retox-erandwane,Retox,0,4.4,Based on 294 votes,080 46971879,Erandwane,"₹2,000","Asian, North Indian, European, Continental, Finger Food","Pub, Casual Dining"
https://www.zomato.com/pune/baraza-bars-bites-yerawada,Baraza Bars & Bites,1,4.5,1641  votes,+91 8329088121,Yerawada,"₹1,500","Modern Indian, North Indian, Asian, Continental, Mughlai, Bar Food","Bar, Casual Dining"
https://www.zomato.com/pune/barberry-kothrud,BarBerry,0,4.8,1861  votes,+91 9413324280 +91 9922335111,Kothrud,"₹1,200","North Indian, Italian, Finger Food","Bar, Casual Dining"
https://www.zomato.com/pune/nawab-asia-1-baner,Nawab Asia,1,4.0,1289  votes,+91 7276425566 +91 8983066527,Baner,"₹1,300","North Indian, Chinese, Mughlai, Biryani, Desserts, Beverages","Casual Dining, Bar"
https://www.zomato.com/pune/blue-water-ravet,Blue Water,0,4.6,3230  votes,+91 9657994466,Ravet,"₹1,800","North Indian, Chinese, Continental","Bar, Casual Dining"
https://www.zomato.com/pune/true-tramm-trunk-aundh,True Tramm Trunk,1,4.4,516  votes,080 46971313,Aundh,"₹1,600","North Indian, Fast Food, Asian","Bar, Casual Dining"
https://www.zomato.com/pune/tathya-bund-garden,Tathya,0,4.6,521  votes,+91 8378092999 +91 8378093999,Bund Garden Road,"₹1,300","North Indian, Mughlai, Biryani",Casual Dining
https://www.zomato.com/pune/santè-spa-cuisine-koregaon-park,Santè Spa Cuisine,1,4.8,1331  votes,+91 8237902020 +91 9325532934,Koregaon Park,"₹1,300","Salad, Continental, Healthy Food, Mediterranean, Pizza",Casual Dining
https://www.zomato.com/pune/unwind-mundhwa,UNWIND,1,4.1,723  votes,080 46971043,Mundhwa,"₹2,200","North Indian, European, Asian, Kebab, Afghan, Continental","Bar, Casual Dining"
https://www.zomato.com/pune/the-irani-cafe-viman-nagar,The Irani Cafe,0,4.3,1158  votes,+91 7420053999,Viman Nagar,₹300,"Iranian, Fast Food",Irani Cafe
https://www.zomato.com/pune/arabian-bites-kondhwa,Arabian Bites,0,4.3,1670  votes,+91 7768880097,Kondhwa,₹250,Arabian,Quick Bites
https://www.zomato.com/pune/makaza-viman-nagar,Makaza,0,4.2,Based on 253 votes,+91 9607698282 +91 9607708282,Viman Nagar,"₹1,200","North Indian, Chinese","Casual Dining, Bar"
https://www.zomato.com/pune/chilis-american-grill-bar-viman-nagar,Chili's American Grill & Bar,0,4.9,5334  votes,020 30950400 +91 9890430617,Viman Nagar,"₹1,400","Mexican, American, Tex-Mex, Salad, Burger","Casual Dining, Bar"
https://www.zomato.com/pune/madari-the-crazy-bar-baner,Madari - The Crazy Bar,0,4.0,Based on 294 votes,080 46971188,Baner,"₹1,400","Finger Food, Modern Indian, Italian, Bar Food","Bar, Casual Dining"
https://www.zomato.com/pune/sigree-aundh,Sigree,1,4.1,1948  votes,+91 8956047757 +91 9371460959,Aundh,"₹1,600",North Indian,Casual Dining
https://www.zomato.com/pune/the-cult-house-magarpatta,The Cult - House,0,3.6,Based on 91 votes,+91 8956282212 +91 8956282213,Magarpatta,"₹2,000","Modern Indian, Continental, Sushi, Finger Food, Asian, Bar Food","Club, Lounge"
https://www.zomato.com/pune/mezza--hinjawadi,Mezza 9,1,3.9,3908  votes,+91 8888851818 +91 9623441818,Hinjawadi,"₹1,700","Continental, North Indian, Mughlai, Asian","Bar, Casual Dining"
https://www.zomato.com/pune/tales-spirits-senapati-bapat-road,Tales & Spirits,1,4.3,3848  votes,+91 8600599999 020 25632999,Senapati Bapat Road,"₹1,500","Italian, Continental, Salad, Bar Food","Casual Dining, Bar"
https://www.zomato.com/pune/house-of-paratha-jm-road,House of Paratha,0,4.1,741  votes,+91 7775977757 +91 9021313912,JM Road,₹500,"North Indian, Chinese",Quick Bites
https://www.zomato.com/pune/mughal-mahal-hinjawadi,Mughal Mahal,0,4.4,3081  votes,080 46971118,Hinjawadi,"₹1,500","North Indian, Mughlai, Biryani, Chinese",Casual Dining
https://www.zomato.com/pune/hackers-kitchen-bar-kharadi,Hackers Kitchen & Bar,1,4.2,213  votes,080 46971677,Kharadi,"₹2,200","North Indian, Continental, Chinese, Seafood","Bar, Casual Dining"
https://www.zomato.com/pune/the-millers-homebar-kitchen-bund-garden,The Millers Homebar & Kitchen,1,4.4,431  votes,+91 8669610999 +91 7709368666,Bund Garden Road,"₹1,300","Continental, North Indian, Thai",Lounge
https://www.zomato.com/pune/level-5-bistro-and-bar-erandwane,Level 5 Bistro and Bar,0,4.8,494  votes,+91 7030933061,Erandwane,"₹1,200","European, Italian, American","Casual Dining, Bar"
https://www.zomato.com/pune/tipsy-turtle-bavdhan,Tipsy Turtle,0,3.8,210  votes,+91 7720030444 +91 7720060555,Bavdhan,₹800,"North Indian, Seafood, Italian",Lounge
https://www.zomato.com/pune/rushhrs-magarpatta,RushHrs,0,4.0,333  votes,020 67232003 00 09067018151,Magarpatta,₹500,"Fast Food, Burger, Rolls",Quick Bites
https://www.zomato.com/pune/samudra-erandwane,Samudra,1,4.2,883  votes,+91 7666786359 020 25458504,Erandwane,₹850,"South Indian, Fast Food, North Indian, Chinese, Beverages",Casual Dining
https://www.zomato.com/pune/son-of-a-gun-baner,Son Of A Gun,1,4.1,259  votes,+91 9823138381 +91 8910360639,Baner,"₹1,300","Italian, Mexican, North Indian, Bar Food","Bar, Casual Dining"
